t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_conf_atr,t_conf_loc,xlong,ylat
NY,Erie County,36029,unknown Erie County,2016,2,-9999.0,3,3,-78.931122,42.977005
FL,Flagler County,12035,unknown Flagler County,2013,1,-9999.0,1,3,-81.459099,29.484995
MI,Gratiot County,26057,unknown Gratiot County,2018,10,-9999.0,1,1,-84.612991,43.453888
TX,Gray County,48179,unknown Gray County,2016,21,-9999.0,1,3,-100.92601,35.207813
IA,Greene County,19073,unknown Greene County,2018,61,-9999.0,1,1,-94.200424,42.078785
IA,Guthrie County,19077,unknown Guthrie County 2,2013,1,-9999.0,1,3,-94.425591,41.703194
TX,Harris County,48201,unknown Harris County,2015,2,-9999.0,1,3,-95.176208,29.627926
HI,Hawaii County,15001,unknown Hawaii County,2013,1,-9999.0,1,3,-155.804489,20.240572
MI,Isabella County,26073,unknown Isabella County,2018,2,-9999.0,1,1,-84.63945,43.525803
MO,Johnson County,29101,unknown Johnson County 3,2010,1,-9999.0,1,3,-93.793892,38.783295
TX,Kenedy County,48261,unknown Kenedy County,2018,5,-9999.0,1,1,-97.66468,26.996075
TX,Kent County,48263,unknown Kent County,2012,3,-9999.0,1,3,-100.57338,33.25729
CA,Kern County,6029,unknown Kern County,-9999,3,-9999.0,1,3,-118.315186,35.066345
CO,Kit Carson County,8063,unknown Kit Carson County,2018,27,-9999.0,1,1,-103.132965,39.093452
AK,Northwest Arctic Borough,2188,unknown Kotzebue Wind Project,2003,2,-9999.0,1,3,-162.557327,66.834328
AK,Lake and Peninsula Borough,2164,unknown Lake and Peninsula Borough,2010,2,-9999.0,1,3,-154.764297,59.446339
TX,Lamb County,48279,unknown Lamb County,2018,8,-9999.0,1,1,-102.588951,34.041809
NM,Lea County,35025,unknown Lea County,-9999,2,-9999.0,1,3,-103.192581,32.758369
NY,Lewis County,36049,unknown Lewis County,2018,40,-9999.0,1,1,-75.666458,43.910229
MT,Lewis and Clark County,30049,unknown Lewis and Clark County,2013,1,-9999.0,1,3,-111.99411,46.599632
CO,Lincoln County,8073,unknown Lincoln County,2018,64,-9999.0,1,1,-103.233231,39.072327
OH,Lorain County,39093,unknown Lorain County,2015,2,-9999.0,1,3,-82.041527,41.340584
TX,Lubbock County,48303,unknown Lubbock County,-9999,5,-9999.0,1,3,-102.048637,33.607967
TX,Lynn County,48305,unknown Lynn County,2018,54,-9999.0,1,2,-101.674187,33.140469
NE,Madison County,31119,unknown Madison County,2011,1,-9999.0,1,3,-97.388779,42.05138
KS,Marion County,20115,unknown Marion County,2018,89,-9999.0,1,1,-97.082184,38.568977
HI,Maui County,15009,unknown Maui County,2015,3,-9999.0,1,3,-156.423553,20.859423
ND,McHenry County,38049,unknown McHenry County,2018,4,-9999.0,1,1,-100.883026,47.859558
ND,Morton County,38059,unknown Morton County,2017,2,-9999.0,1,3,-101.2229,46.96769
NY,Niagara County,36063,unknown Niagara County,2017,1,-9999.0,1,3,-78.493965,43.282898
TX,Nolan County,48353,unknown Nolan County,2018,7,-9999.0,1,1,-100.19104,32.446075
AK,Nome Census Area,2180,unknown Nome Census Area,2015,1,-9999.0,1,3,-166.059753,66.258034
TX,Nueces County,48355,unknown Nueces County,2012,1,-9999.0,1,3,-97.486504,27.78853
TX,Oldham County,48359,unknown Oldham County,2018,3,-9999.0,1,1,-102.361694,35.216751
NY,Oneida County,36065,unknown Oneida County,2017,2,-9999.0,1,3,-75.448891,42.974724
OH,Paulding County,39125,unknown Paulding County,2018,42,-9999.0,1,1,-84.540642,41.028763
TX,Pecos County,48371,unknown Pecos County,-9999,13,-9999.0,1,1,-102.113564,30.922174
MN,Pipestone County,27117,unknown Pipestone County,2018,39,-9999.0,1,1,-96.16069,44.067951
IA,Polk County,19153,unknown Polk County,2016,2,-9999.0,1,3,-93.547928,41.792606
IA,Poweshiek County,19157,unknown Poweshiek County,2018,30,-9999.0,1,1,-92.453232,41.579952
NM,Quay County,35037,unknown Quay County,2018,2,-9999.0,1,1,-103.956367,34.618336
MN,Red Lake County,27125,unknown Red Lake County,2017,1,-9999.0,1,1,-96.314957,47.871574
CA,Riverside County,6065,unknown San Gorgonio Pass 1,1981,145,-9999.0,1,3,-116.575188,33.890396
CA,Riverside County,6065,unknown San Gorgonio Pass 4,1985,37,-9999.0,1,3,-116.618134,33.93515
CA,Riverside County,6065,unknown San Gorgonio Pass 6,1996,6,-9999.0,1,3,-116.585686,33.890194
CA,Riverside County,6065,unknown San Gorgonio Pass 7,1996,13,-9999.0,1,3,-116.571289,33.926994
NE,Scotts Bluff County,31157,unknown Scotts Bluff County,2010,1,-9999.0,1,3,-103.681992,41.843891
CA,Solano County,6095,unknown Solano County,1990,7,-9999.0,1,3,-121.813087,38.077194
MT,Stillwater County,30095,unknown Stillwater County,2018,17,-9999.0,1,1,-109.527351,45.829777
TX,Taylor County,48441,unknown Taylor County,2005,1,-9999.0,1,3,-100.054169,32.214169
CA,Kern County,6029,unknown Tehachapi Wind Resource Area 1,1982,1831,-9999.0,1,3,-118.388985,35.063896
CA,Kern County,6029,unknown Tehachapi Wind Resource Area 3,2005,59,-9999.0,1,3,-118.279289,35.050896
NM,Union County,35059,unknown Union County,2013,2,-9999.0,1,3,-103.132591,36.464596
UT,Utah County,49049,unknown Utah County,-9999,3,-9999.0,1,3,-111.589981,40.083641
WA,Walla Walla County,53071,unknown Walla Walla County,2014,3,-9999.0,1,3,-118.272552,46.07864
NV,Washoe County,32031,unknown Washoe County,2014,2,-9999.0,1,3,-119.911674,39.669216
WA,Whatcom County,53073,unknown Whatcom County,2010,1,-9999.0,1,3,-122.525688,48.785095
OK,Woodward County,40153,unknown Woodward County,2018,50,-9999.0,1,1,-99.243851,36.176292
CA,Yolo County,6113,unknown Yolo County,2014,1,-9999.0,1,3,-121.861214,38.580673
CO,Yuma County,8125,unknown Yuma County,2016,2,-9999.0,1,3,-102.716949,40.037548
